番禺-亚运城-兴亚二路,亚运城,2010年,2.80元/平米/月,24034,8078户,492,37,15203,16271,17033,22889,23600,24034,,,,,,,,,,,,,,
花都-旧区-广花路,自由人花园,2014年,2.80元/平米/月,19381,10000户,943,29,12824,12926,12933,18372,19113,19381,,,,,,,,,,,,,,
花都-新区-狮岭大道东1号,御华园,2013年,2.60元/平米/月,16416,1679户,822,141,9438,9630,9834,16261,16317,16416,,,,,,,,,,,,,,
南沙-明珠湾-港前大道北,时代南湾,2015年,2.50元/平米/月,23583,665户,1765,65,14104,14479,14688,22982,23126,23583,,,,,,,,,,,,,,
花都-狮岭-山前旅游大道,金碧御水山庄,2003年,0.90元/平米/月,9464,3800户,589,58,8044,8425,8498,9502,9515,9464,,,,,,,,,,,,,,
南沙-南沙湾-三号路,嘉安花园,暂无数据,暂无数据,9733,暂无数据,259,0,0,0,0,10823,10156,9733,,,,,,,,,,,,,,
花都-花都西-山前大道,美林湖国际社区,2015年,4.50元/平米/月,9340,10000户,1092,12,8972,9422,8000,9205,9273,9340,,,,,,,,,,,,,,
增城-广园东-凤凰城大道,凤馨苑(碧桂园凤凰城),2009年,2.00元/平米/月,24984,暂无数据,1332,301,15544,16302,16702,24623,24681,24984,,,,,,,,,,,,,,
番禺-亚运城-康体路,亚运城5号,暂无数据,2.80元/平米/月,20433,暂无数据,452,2,0,0,0,21147,21240,20433,,,,,,,,,,,,,,
白云-金沙洲-彩滨北路8号,深业江悦湾,2015年,2.80元/平米/月,33866,暂无数据,409,97,22949,23221,23755,34037,33692,33866,,,,,,,,,,,,,,
南沙-金洲-广丰路,丰庭花园,2005年,1.50元/平米/月,20130,暂无数据,689,169,10462,11444,12167,19627,19789,20130,,,,,,,,,,,,,,
天河-珠江新城东-临江大道417-431号,侨鑫汇悦台,2014年,8.00元/平米/月,149638,417户,947,145,99926,100263,101376,145409,149127,149638,,,,,,,,,,,,,,
花都-花都西-风神大道18号,风神公社,2012年,1.60元/平米/月,17802,暂无数据,381,18,9673,9609,9669,16591,17257,17802,,,,,,,,,,,,,,
南沙-金洲-进港大道130-180号,南沙碧桂园,2007年,2.00元/平米/月,19644,暂无数据,1656,73,18000,18000,18000,19034,19100,19644,,,,,,,,,,,,,,
白云-白云大道-黄边北路120-340号,云山诗意人家,2008年,1.80元/平米/月,44132,暂无数据,674,291,28710,29926,30341,44449,44190,44132,,,,,,,,,,,,,,
黄埔-长岭居-长岭路,万科山景城,2016年,1.40元/平米/月,22737,暂无数据,426,20,16233,17324,18429,21983,22107,22737,,,,,,,,,,,,,,
增城-石滩-绿湖西路,敏捷绿湖国际城,2016年,2.20元/平米/月,14002,2826户,2483,19,9063,9719,9837,13770,13840,14002,,,,,,,,,,,,,,
花都-狮岭-狮岭大道东8号,狮城国际,2009年,1.20元/平米/月,13235,1669户,337,48,6554,6769,6768,12786,13026,13235,,,,,,,,,,,,,,
增城-广园东-广深大道108号,新康花园,2004年,0.80元/平米/月,17354,暂无数据,1190,96,9445,9817,9965,16795,17060,17354,,,,,,,,,,,,,,
黄埔-香雪-开源大道814号,越秀岭南雅筑,2014年,2.80元/平米/月,23987,2280户,648,73,16106,16327,16534,23162,23743,23987,,,,,,,,,,,,,,
番禺-大学城-中五路,尚轩103,2013年,3.85元/平米/月,19690,暂无数据,421,0,17978,17693,17835,21397,20112,19690,,,,,,,,,,,,,,
增城-中新-下车路,恒大山水城,2008年,3.00元/平米/月,17718,暂无数据,988,53,9837,10273,10627,17280,17353,17718,,,,,,,,,,,,,,
番禺-钟村-骏业路,锦绣生态园,2001年,0.80元/平米/月,25023,暂无数据,1062,176,14550,15014,15118,23962,24495,25023,,,,,,,,,,,,,,
