3000元/月 付1押2, 2室2厅1卫,90平方米 朝南 高层(共32层),豪华装修,普通住宅,金地九珑璧 (禅城 湖景)
2300元/月 付1押2, 2室2厅1卫,65平方米 东北 低层(共30层),精装修,普通住宅,东建普君新城 (禅城 普君)
2200元/月 付1押2, 2室1厅1卫,70平方米 朝南 高层(共23层),精装修,普通住宅,天丰国际 (禅城 季华六路)
2500元/月 付1押2, 3室2厅2卫,92平方米 南北 高层(共32层),精装修,普通住宅,沿海謦庭 (禅城 东平新城)
2800元/月 面议, 2室2厅1卫,85平方米 朝南 高层(共30层),精装修,普通住宅,金地九珑璧 (禅城 湖景)
1700元/月 付1押2, 1室1厅1卫,38平方米 朝南 中层(共32层),精装修,公寓,星星华园国际花园 (禅城 季华园)
2700元/月 付1押2, 2室2厅1卫,76平方米 朝北 中层(共31层),精装修,普通住宅,普君新城华府 (禅城 普君)
2400元/月 付1押2, 2室2厅2卫,120平方米 朝南 中层(共28层),精装修,公寓,世博广场 (禅城 魁奇)
2600元/月 付1押2, 3室2厅2卫,118平方米 朝南 低层(共39层),豪华装修,普通住宅,碧桂园城市花园中区 (禅城 东平新城)
4100元/月 付1押2, 3室2厅2卫,120平方米 南北 高层(共33层),精装修,普通住宅,怡翠宏璟 (禅城 湖景)
2800元/月 付1押2, 3室2厅1卫,92平方米 朝南 高层(共32层),精装修,普通住宅,沿海謦庭 (禅城 东平新城)
1600元/月 付2押1, 1室1厅0卫,43平方米 南北 低层(共32层),简单装修,普通住宅,越秀可逸新势力 (禅城 佛平)
2999元/月 付1押2, 2室1厅2卫,110平方米 东南 中层(共29层),豪华装修,公寓,世博广场 (禅城 魁奇)
2600元/月 付1押2, 2室2厅1卫,79平方米 东北 低层(共30层),精装修,普通住宅,普君新城华府 (禅城 普君)
1350元/月 付1押2, 1室1厅1卫,48平方米 朝南 低层(共30层),简单装修,普通住宅,盛南公馆 (禅城 石湾)
2100元/月 付1押2, 2室1厅1卫,88平方米 南北 高层(共9层),精装修,普通住宅,玫瑰园南区 (禅城 季华园)
2500元/月 付1押2, 2室2厅1卫,80平方米 朝南 低层(共28层),毛坯,普通住宅,越秀可逸新势力 (禅城 佛平)
2999元/月 付1押2, 2室2厅2卫,75平方米 南北 低层(共43层),豪华装修,公寓,世博广场 (禅城 魁奇)
2600元/月 付1押2, 2室2厅1卫,95平方米 朝北 低层(共12层),豪华装修,普通住宅,丽日家园二期 (禅城 张槎)
2800元/月 付1押2, 3室2厅2卫,90平方米 朝南 中层(共32层),豪华装修,普通住宅,沿海謦庭 (禅城 东平新城)
2300元/月 付3押1, 2室2厅1卫,68平方米 朝南 中层(共30层),精装修,普通住宅,普君新城东苑 (禅城 普君)
2500元/月 付1押2, 3室2厅1卫,120平方米 南北 高层(共7层),简单装修,普通住宅,乐园北街小区 (禅城 祖庙)
2000元/月 付1押2, 2室2厅1卫,70平方米 朝东 中层(共17层),精装修,普通住宅,保利香槟花园B区 (禅城 张槎)
1900元/月 面议, 2室2厅1卫,87平方米 朝南 低层(共34层),精装修,普通住宅,中海文华熙岸 (禅城 湖景)
2800元/月 付1押2, 3室2厅2卫,127平方米 朝北 中层(共11层),精装修,普通住宅,碧云天 (禅城 绿景)
3000元/月 付2押1, 2室2厅1卫,140平方米 南北 中层(共28层),豪华装修,公寓,世博广场 (禅城 魁奇)
2600元/月 付1押2, 3室2厅1卫,100平方米 南北 低层(共20层),精装修,普通住宅,华远大厦 (禅城 季华园)
2999元/月 付1押2, 3室2厅1卫,95平方米 朝南 中层(共40层),豪华装修,普通住宅,龙光天湖华府 (禅城 湖景)
1300元/月 付1押2, 1室1厅1卫,46平方米 朝南 中层(共30层),简单装修,普通住宅,盛南公馆 (禅城 石湾)
3000元/月 付1押2, 3室2厅2卫,87平方米 朝北 中层(共31层),精装修,普通住宅,非凡领域 (禅城 季华六路)
2400元/月 付1押2, 2室2厅2卫,120平方米 朝南 中层(共28层),精装修,公寓,世博广场 (禅城 魁奇)
2100元/月 付1押2, 2室2厅1卫,68平方米 东南 低层(共20层),精装修,普通住宅,东方水岸 (禅城 东平新城)
4000元/月 付1押2, 3室2厅1卫,110平方米 朝南 低层(共33层),精装修,普通住宅,中海文华熙岸 (禅城 湖景)
3200元/月 付1押2, 3室2厅1卫,97平方米 朝南 高层(共42层),精装修,普通住宅,龙光天湖华府 (禅城 湖景)
3000元/月 付1押2, 3室2厅1卫,90平方米 朝南 低层(共40层),毛坯,普通住宅,龙光天湖华府 (禅城 湖景)
2999元/月 付1押2, 2室1厅2卫,75平方米 南北 中层(共28层),豪华装修,公寓,世博广场 (禅城 魁奇)
2500元/月 付1押2, 3室2厅1卫,130平方米 南北 中层(共28层),精装修,普通住宅,绿语芳居 (禅城 魁奇)
3000元/月 付1押2, 2室2厅1卫,75平方米 朝南 中层(共26层),豪华装修,普通住宅,世博广场 (禅城 魁奇)
2700元/月 付1押2, 3室2厅2卫,91平方米 朝南 中层(共30层),精装修,普通住宅,龙光水悦龙湾 (禅城 南庄)
2500元/月 付1押2, 2室2厅1卫,100平方米 南北 高层(共21层),精装修,普通住宅,厚辉广场 (禅城 季华园)
2800元/月 付1押2, 3室2厅2卫,90平方米 南北 中层(共32层),精装修,普通住宅,普君新城华府 (禅城 普君)
2500元/月 付1押2, 3室2厅2卫,123平方米 南北 中层(共7层),精装修,普通住宅,丽日华庭 (禅城 湖景)
1599元/月 付1押2, 1室1厅1卫,45平方米 朝南 中层(共30层),精装修,公寓,越秀可逸新势力 (禅城 佛平)
1700元/月 付1押2, 2室2厅1卫,84平方米 朝南 中层(共7层),精装修,普通住宅,惠景城 (禅城 绿景)
2400元/月 付1押2, 1室1厅1卫,50平方米 朝南 高层(共16层),豪华装修,公寓,御东灯湖国际 (禅城 汾江北)
1200元/月 付1押2, 1室1厅1卫,47平方米 朝东 低层(共22层),精装修,公寓,华夏中央广场 (禅城 南庄)
1100元/月 付1押2, 1室1厅1卫,40平方米 朝东 中层(共32层),精装修,公寓,慧港国际(商住楼) (禅城 东平新城)
3500元/月 付1押2, 2室2厅1卫,86平方米 朝南 中层(共25层),精装修,普通住宅,铂顿城 (禅城 祖庙)
1800元/月 付1押2, 2室1厅1卫,70平方米 朝南 中层(共20层),精装修,普通住宅,科秦君御华府 (禅城 汾江北)
1800元/月 付2押1, 1室1厅1卫,52平方米 朝南 高层(共26层),简单装修,普通住宅,凯德城脉 (禅城 绿景)
1100元/月 付3押1, 1室0厅1卫,38平方米 朝西 中层(共18层),精装修,普通住宅,慧港国际 (禅城 东平新城)
2200元/月 付1押2, 2室2厅1卫,72平方米 南北 中层(共28层),其他,酒店公寓,时代云图 (禅城 朝安)
600元/月 付1押1, 1室1厅1卫,40平方米 朝东 中层(共6层),精装修,公寓,同济广场 (禅城 同济)
1599元/月 付1押2, 1室1厅1卫,38平方米 朝南 中层(共33层),精装修,普通住宅,九鼎国际公寓 (禅城 季华六路)
2000元/月 付1押2, 2室2厅1卫,70平方米 朝南 高层(共8层),简单装修,普通住宅,名雅豪庭 (禅城 季华园)
500元/月 付1押1, 1室0厅1卫,28平方米 朝北 中层(共8层),精装修,公寓,兆阳御花园 (禅城 绿景)
1600元/月 付1押2, 3室2厅2卫,86平方米 朝北 低层(共28层),精装修,普通住宅,万科城 (禅城 南庄)
1300元/月 付1押2, 1室0厅1卫,24平方米 朝南 高层(共17层),简单装修,普通住宅,东方广场 (禅城 高基)
1500元/月 付1押2, 1室1厅1卫,42平方米 朝东 中层(共31层),精装修,普通住宅,长信东海银湾 (禅城 朝安)
1300元/月 付3押1, 1室1厅1卫,42平方米 东南 低层(共26层),精装修,普通住宅,慧港国际 (禅城 东平新城)
3000元/月 付2押1, 3室2厅2卫,120平方米 南北 高层(共9层),豪华装修,普通住宅,玫瑰园 (禅城 季华园) 要求： 男女不限
3000元/月 付1押2, 3室2厅1卫,106平方米 朝南 低层(共18层),简单装修,普通住宅,季华新景园 (禅城 季华园)
2000元/月 付1押2, 2室2厅1卫,62平方米 朝南 中层(共30层),精装修,普通住宅,普君新城东苑 (禅城 普君)
3400元/月 付2押2, 3室2厅2卫,90平方米 东南 中层(共30层),豪华装修,普通住宅,星星凯旋国际花园 (禅城 季华六路)
1500元/月 付1押2, 1室0厅1卫,42平方米 朝南 高层(共31层),毛坯,公寓,保利天玺 (禅城 湖景)
1300元/月 付2押1, 2室1厅1卫,80平方米 朝南 高层(共7层),简单装修,普通住宅,榕亭里 (禅城 同济)
2000元/月 付2押1, 2室2厅1卫,88平方米 朝南 中层(共16层),简单装修,普通住宅,东方广场钻石城 (禅城 高基)
1900元/月 付1押2, 2室1厅1卫,62平方米 南北 高层(共11层),精装修,普通住宅,锦隆花园 (禅城 高基)
1200元/月 付1押2, 1室0厅1卫,38平方米 朝东 中层(共19层),精装修,公寓,东建文华尚领 (禅城 汾江北)
1800元/月 付1押2, 1室1厅1卫,60平方米 南北 中层(共31层),毛坯,公寓,保利天玺 (禅城 湖景)
2400元/月 付1押2, 1室1厅1卫,55平方米 南北 高层(共26层),精装修,公寓,恒福新城 (禅城 季华六路)
3000元/月 付1押2, 3室2厅1卫,92平方米 东南 高层(共42层),精装修,普通住宅,龙光天湖华府 (禅城 湖景)
3800元/月 付1押2, 4室2厅2卫,115平方米 南北 高层(共41层),精装修,普通住宅,龙光天湖华府 (禅城 湖景)
1600元/月 付1押2, 2室2厅1卫,80平方米 朝南 高层(共8层),简单装修,普通住宅,惠景城 (禅城 绿景)
3000元/月 付1押2, 3室2厅2卫,92平方米 朝北 低层(共17层),精装修,普通住宅,保利香槟花园 (禅城 张槎)
1600元/月 付1押2, 1室1厅1卫,38平方米 朝南 中层(共32层),豪华装修,公寓,滨海御庭 (禅城 东平新城)
3100元/月 付1押2, 3室2厅1卫,91平方米 朝南 低层(共32层),精装修,普通住宅,龙光天湖华府 (禅城 湖景)
900元/月 付1押2, 1室1厅1卫,40平方米 南北 中层(共15层),精装修,公寓,帝景蓝湾 (禅城 南庄)
2000元/月 付1押2, 2室1厅1卫,65平方米 东南 中层(共26层),精装修,普通住宅,天御盈品 (禅城 绿景)
2600元/月 付1押2, 3室2厅1卫,90平方米 朝南 低层(共28层),精装修,普通住宅,慧港国际 (禅城 东平新城)
2800元/月 付1押2, 4室2厅2卫,120平方米 朝南 中层(共17层),精装修,普通住宅,东海国际 (禅城 汾江北)
1000元/月 付1押2, 1室0厅1卫,38平方米 朝西 高层(共19层),精装修,公寓,东建文华尚领 (禅城 汾江北)
2500元/月 付1押2, 3室2厅1卫,90平方米 朝南 低层(共32层),毛坯,普通住宅,富力广场 (禅城 高基)
1550元/月 付1押2, 1室0厅1卫,38平方米 朝东 低层(共30层),精装修,公寓,保利天玺 (禅城 湖景)
2300元/月 付2押1, 2室2厅1卫,83平方米 朝北 低层(共15层),精装修,普通住宅,季华金品尚院 (禅城 季华六路)
1200元/月 付3押1, 1室1厅1卫,28平方米 朝南 中层(共21层),精装修,普通住宅,万通国际 (禅城 魁奇)
1700元/月 付1押2, 1室1厅1卫,48平方米 朝南 高层(共33层),精装修,普通住宅,越秀可逸新势力 (禅城 佛平)
1800元/月 付1押2, 3室2厅1卫,115平方米 南北 中层(共9层),简单装修,普通住宅,丝绸大街小区 (禅城 高基)
